Date,Local.Time,Latitude,Longitude,Magnitude.ML.,Epicentre
7/1/2015,3:33,27.8,85.74,4,Sindhupalchowk
6/30/2015,3:31,27.55,85.79,4.4,Kavre
6/29/2015,23:34,27:93,85:64,4,Sindhupalchowk
6/29/2015,23:27,27.92,85.68,4.1,Sindhupalchowk
6/29/2015,5:42,27.35,86.2,5,Ramechhap
6/28/2015,22:01,27.92,85.66,4.3,Sindhupalchok
6/26/2015,18:02,27.74,86.28,4.2,Dolakha
6/26/2015,14:45,27.58,85.39,4.1,Lalitpur
6/25/2015,23:51,27.94,85.49,4.2,Sindhupalchok
6/25/2015,23:49,27.66,86.21,4.1,Dolakha
6/25/2015,21:07,27.78,85.17,4.3,Nuwakot
6/24/2015,14:59,27.85,85.75,4,Sindhupalchowk
6/22/2015,13:19,27.67,86.17,4,Dolakha
6/21/2015,19:26,27.8,86,4.3,Sindupalchok
6/20/2015,2:40,28.17,84.94,4.2,Gorkha
6/19/2015,13:50,28.26,84.92,4,Gorkha
6/18/2015,8:24,28.14,85.11,4.1,Dhading
6/17/2015,8:00,28.27,85.94,5.1,Tibet
6/17/2015,6:26,27.9,85.58,4,Sindhupalchok
6/17/2015,6:14,27.91,85.59,5.2,Sindhupalchok
6/17/2015,5:58,27.68,85.28,4.4,Kathmandu
6/16/2015,21:56,27.7,86.16,4.1,Dolakha
6/15/2015,15:52,27.87,85.72,4.1,Sindhupalchowk
6/14/2015,15:01,27.74,86.26,4.1,Dolakha
6/14/2015,5:59,27.8,85.15,4.2,Nuwakot
6/13/2015,7:03,27.73,86.16,5.2,Dolakha
6/12/2015,10:19,27.67,86.09,4.4,Dolakha
6/12/2015,1:22,28.21,84.81,4.6,Gorkha
6/11/2015,21:57,27.96,85.73,5.3,Sindhupalchowk
6/11/2015,10:02,27.8,85.78,4.6,Sindhupalchowk
6/11/2015,0:26,27.67,86.07,4,Dolakha
6/10/2015,14:51,27.62,86.1,4.2,Dolakha
6/10/2015,13:36,27.8,85.61,4.3,Sindhupalchowk
6/10/2015,2:50,27.87,85.81,4.1,Sindhupalchowk
6/7/2015,22:35,27.87,86.13,4.1,Dolakha
6/7/2015,11:02,27.9,85.64,4.6,Sindhupalchowk
6/6/2015,22:45,27.58,86.18,4,Dolakha
6/6/2015,2:33,28.26,85.86,4.2,Tibet
6/5/2015,14:16,27.7,85.22,4,Kathmandu
6/5/2015,10:02,27.79,85.78,4.1,Sindhupalchowk
6/4/2015,16:15,27.76,86.2,4,Dolakha
6/3/2015,17:38,27.7,86.26,4.5,Dolakha
6/3/2015,14:39,27.76,86.07,4.2,Dolakha
6/3/2015,13:37,27.79,85.87,4.5,Sindhupalchowk
6/3/2015,2:45,27.84,85.78,4.1,Sindhupalchowk
6/2/2015,10:48,27.78,86.2,4,Dolakha
6/1/2015,4:35,27.98,85.51,4,Sindhupalchowk
5/31/2015,13:54,28.29,84.46,4.2,Lamjung
5/30/2015,22:13,27.79,85.17,4.5,Nuwakot
5/30/2015,20:35,28.01,85.19,4,Rasuwa
5/30/2015,1:52,27.75,85.21,4,Dhading
5/29/2015,15:44,28,84.98,5.2,Dhading
5/29/2015,12:30,28.01,84.84,4.8,Dhading
5/29/2015,8:30,28.17,84.72,4,Gorkha
5/29/2015,5:20,28.07,84.94,4.2,Dhading
5/29/2015,0:37,27.82,86.34,4.2,Dolakha
5/28/2015,22:16,27.94,85.54,4,Sindhupalchowk
5/28/2015,12:14,27.59,86.16,4.1,Dolakha
5/28/2015,11:36,27.59,86.19,4.2,Dolakha
5/28/2015,5:29,27.77,86.25,4.2,Dolakha
5/28/2015,5:12,27.64,85.31,4,Kathmandu
5/28/2015,3:40,27.95,84.8,4,Dhading
5/28/2015,3:07,27.99,84.79,4,Dhading
5/27/2015,22:29,28.04,85.13,4.2,Nuwakot
5/27/2015,13:16,27.89,85.53,4.6,Sindhupalchowk
5/27/2015,13:15,27.91,85.53,4.5,Sindhupalchowk
5/27/2015,12:03,27.59,86.2,4.2,Dolakha
5/26/2015,22:52,28.02,85.26,5,Rasuwa
5/26/2015,20:00,27.54,85.43,4.3,Lalitpur
5/26/2015,18:39,27.71,86.05,4.1,Dolakha
5/26/2015,17:48,27.63,86.3,4.1,Dolakha
5/26/2015,14:11,27.84,86.24,4.3,Dolakha
5/25/2015,22:16,27.74,86.19,4.4,Dolakha
5/25/2015,11:00,27.71,86.07,4.1,Dolakha
5/25/2015,3:23,28.01,84.68,5,Gorkha
5/24/2015,23:15,27.76,86.26,4.3,Dolakha
5/24/2015,12:55,27.8,86.29,4.4,Dolakha
5/24/2015,11:46,27.84,86,4.2,Sindhupalchowk
5/24/2015,10:38,27.76,86.28,4.4,Dolakha
5/24/2015,7:06,27.67,86.18,4.2,Dolakha
5/23/2015,22:26,27.9,85.51,4.4,Sindhupalchok
5/23/2015,13:14,27.74,86.2,4.2,Dolakha
5/22/2015,20:44,27.69,86.16,4.1,Dolakha
5/22/2015,18:49,27.78,85.93,4,Sindhupalchowk
5/22/2015,17:30,27.63,86.25,4.1,Dolakha
5/22/2015,16:44,28.05,85.08,4.8,Nuwakot
5/22/2015,14:45,27.79,85.14,4.2,Nuwakot
5/21/2015,19:30,28.02,84.98,4,Dhading
5/21/2015,14:56,27.93,85.46,4,Nuwakot
5/21/2015,14:11,27.85,86.32,4.2,Dolakha
5/20/2015,14:47,27.52,85.26,4.4,Lalitput
5/20/2015,11:10,27.84,86.33,4.2,Dolakha
5/19/2015,16:44,27.92,86.04,4.2,Sindhupalchowk
5/19/2015,11:29,27.9,85.99,4,Sindhupalchowk
5/19/2015,4:34,27.66,86.03,4.3,Dolakha
5/18/2015,18:27,28.11,84.88,4.1,Dhading
5/18/2015,11:24,27.69,86.26,4,Dolakha
5/18/2015,9:11,27.71,86.07,4.2,Dolakha
